,p,x,y
401,2.845139321279278e-20,-0.0098,-0.0099
402,2.844756644406497e-20,-0.0098,-0.0098
403,2.8443778568477233e-20,-0.0098,-0.0097
404,2.844002962139716e-20,-0.0098,-0.0096
405,2.8436319525197404e-20,-0.0098,-0.0095
406,2.843264827761973e-20,-0.0098,-0.0094
407,2.8429015914096217e-20,-0.0098,-0.0093
408,2.8425422507744576e-20,-0.0098,-0.0092
409,2.842186794336197e-20,-0.0098,-0.0091
410,2.841835225644272e-20,-0.0098,-0.009
411,2.841487548249914e-20,-0.0098,-0.0089
412,2.841143754406944e-20,-0.0098,-0.0088
413,2.8408038514373944e-20,-0.0098,-0.0087
414,2.840467835366084e-20,-0.0098,-0.0086
415,2.84013570598654e-20,-0.0098,-0.0085
416,2.839807466860559e-20,-0.0098,-0.0084
417,2.839483114019878e-20,-0.0098,-0.0083
418,2.83916264726469e-20,-0.0098,-0.0082
419,2.838846073929004e-20,-0.0098,-0.0081
420,2.838533382519852e-20,-0.0098,-0.008
421,2.838224576610017e-20,-0.0098,-0.0079
422,2.8379196635397447e-20,-0.0098,-0.0078
423,2.837618628058111e-20,-0.0098,-0.0077
424,2.8373214850407996e-20,-0.0098,-0.0076
425,2.83702823430327e-20,-0.0098,-0.0075
426,2.8367388568371435e-20,-0.0098,-0.0074
427,2.836453375054492e-20,-0.0098,-0.0073
428,2.83617177748218e-20,-0.0098,-0.0072
429,2.835894071475261e-20,-0.0098,-0.0071
430,2.835620249330795e-20,-0.0098,-0.007
431,2.835350307113585e-20,-0.0098,-0.0069
432,2.835084252185354e-20,-0.0098,-0.0068
433,2.8348220881448504e-20,-0.0098,-0.0067
434,2.834563803534314e-20,-0.0098,-0.0066
435,2.834309413251109e-20,-0.0098,-0.0065
436,2.834058902077831e-20,-0.0098,-0.0064
437,2.833812277387087e-20,-0.0098,-0.0063
438,2.8335695465532706e-20,-0.0098,-0.0062
439,2.833330690602493e-20,-0.0098,-0.0061
440,2.833095720678397e-20,-0.0098,-0.006
441,2.8328646403978475e-20,-0.0098,-0.0059
442,2.8326374383233645e-20,-0.0098,-0.0058
443,2.832414133132981e-20,-0.0098,-0.0057
444,2.832194702101954e-20,-0.0098,-0.0056
445,2.8319791639126176e-20,-0.0098,-0.0055
446,2.8317675071374794e-20,-0.0098,-0.0054
447,2.831559735407402e-20,-0.0098,-0.0053
448,2.8313558523553834e-20,-0.0098,-0.0052
449,2.831155846561748e-20,-0.0098,-0.0051
450,2.83095973295545e-20,-0.0098,-0.005
451,2.830767500121741e-20,-0.0098,-0.0049
452,2.830579151703109e-20,-0.0098,-0.0048
453,2.83039468381722e-20,-0.0098,-0.0047
454,2.83021411140161e-20,-0.0098,-0.0046
455,2.8300374155247703e-20,-0.0098,-0.0045
456,2.829864603602082e-20,-0.0098,-0.0044
457,2.829695671761003e-20,-0.0098,-0.0043
458,2.829530631184661e-20,-0.0098,-0.0042
459,2.829369478005164e-20,-0.0098,-0.0041
460,2.829212204594032e-20,-0.0098,-0.004
461,2.8290588108518256e-20,-0.0098,-0.0039
462,2.828909304207725e-20,-0.0098,-0.0038
463,2.828763684566884e-20,-0.0098,-0.0037
464,2.8286219443108477e-20,-0.0098,-0.0036
465,2.8284840908758347e-20,-0.0098,-0.0035
466,2.828350116648406e-20,-0.0098,-0.0034
467,2.828220032832406e-20,-0.0098,-0.0033
468,2.8280938242935507e-20,-0.0098,-0.0032
469,2.827971506003301e-20,-0.0098,-0.0031
470,2.827853074120966e-20,-0.0098,-0.003
471,2.8277385248084324e-20,-0.0098,-0.0029
472,2.8276278542301646e-20,-0.0098,-0.0028
473,2.827521066078631e-20,-0.0098,-0.0027
474,2.827418164048631e-20,-0.0098,-0.0026
475,2.8273191443119754e-20,-0.0098,-0.0025
476,2.8272240068056766e-20,-0.0098,-0.0024
477,2.827132758994433e-20,-0.0098,-0.0023
478,2.8270453895322516e-20,-0.0098,-0.0022
479,2.826961905888727e-20,-0.0098,-0.0021
480,2.826882300485545e-20,-0.0098,-0.002
481,2.8268065770346056e-20,-0.0098,-0.0019
482,2.8267347467751976e-20,-0.0098,-0.0018
483,2.8266667946114303e-20,-0.0098,-0.0017
484,2.82660272426254e-20,-0.0098,-0.0016
485,2.8265425356876913e-20,-0.0098,-0.0015
486,2.826486228848529e-20,-0.0098,-0.0014
487,2.826433807471579e-20,-0.0098,-0.0013
488,2.826385279048206e-20,-0.0098,-0.0012
489,2.8263406247353504e-20,-0.0098,-0.0011
490,2.826299852029386e-20,-0.0098,-0.001
491,2.826262960904314e-20,-0.0098,-0.0009
492,2.8262299513365973e-20,-0.0098,-0.0008
493,2.826200838354632e-20,-0.0098,-0.0007
494,2.8261755956032656e-20,-0.0098,-0.0006
495,2.8261542381158545e-20,-0.0098,-0.0005
496,2.8261367658787557e-20,-0.0098,-0.0004
497,2.826123175118463e-20,-0.0098,-0.0003
498,2.826113465826306e-20,-0.0098,-0.0002
499,2.8261076455207635e-20,-0.0098,-0.0001
500,2.826105699148769e-20,-0.0098,0.0
501,2.8261076455207635e-20,-0.0098,0.0001
502,2.826113465826306e-20,-0.0098,0.0002
503,2.826123175118463e-20,-0.0098,0.0003
504,2.8261367658787557e-20,-0.0098,0.0004
505,2.8261542381158545e-20,-0.0098,0.0005
506,2.8261755956032656e-20,-0.0098,0.0006
507,2.826200838354632e-20,-0.0098,0.0007
508,2.8262299513365973e-20,-0.0098,0.0008
509,2.826262960904314e-20,-0.0098,0.0009
510,2.826299852029386e-20,-0.0098,0.001
511,2.8263406247353504e-20,-0.0098,0.0011
512,2.826385279048206e-20,-0.0098,0.0012
513,2.826433807471579e-20,-0.0098,0.0013
514,2.826486228848529e-20,-0.0098,0.0014
515,2.8265425356876913e-20,-0.0098,0.0015
516,2.82660272426254e-20,-0.0098,0.0016
517,2.8266667946114303e-20,-0.0098,0.0017
518,2.8267347467751976e-20,-0.0098,0.0018
519,2.8268065770346056e-20,-0.0098,0.0019
520,2.826882300485545e-20,-0.0098,0.002
521,2.826961905888727e-20,-0.0098,0.0021
522,2.8270453895322516e-20,-0.0098,0.0022
523,2.827132758994433e-20,-0.0098,0.0023
524,2.8272240068056766e-20,-0.0098,0.0024
525,2.8273191443119754e-20,-0.0098,0.0025
526,2.827418164048631e-20,-0.0098,0.0026
527,2.827521066078631e-20,-0.0098,0.0027
528,2.8276278542301646e-20,-0.0098,0.0028
529,2.8277385248084324e-20,-0.0098,0.0029
530,2.827853074120966e-20,-0.0098,0.003
531,2.827971506003301e-20,-0.0098,0.0031
532,2.8280938242935507e-20,-0.0098,0.0032
533,2.828220032832406e-20,-0.0098,0.0033
534,2.828350116648406e-20,-0.0098,0.0034
535,2.8284840908758347e-20,-0.0098,0.0035
536,2.8286219443108477e-20,-0.0098,0.0036
537,2.828763684566884e-20,-0.0098,0.0037
538,2.828909304207725e-20,-0.0098,0.0038
539,2.8290588108518256e-20,-0.0098,0.0039
540,2.829212204594032e-20,-0.0098,0.004
541,2.829369478005164e-20,-0.0098,0.0041
542,2.829530631184661e-20,-0.0098,0.0042
543,2.829695671761003e-20,-0.0098,0.0043
544,2.829864603602082e-20,-0.0098,0.0044
545,2.8300374155247703e-20,-0.0098,0.0045
546,2.83021411140161e-20,-0.0098,0.0046
547,2.83039468381722e-20,-0.0098,0.0047
548,2.830579151703109e-20,-0.0098,0.0048
549,2.830767500121741e-20,-0.0098,0.0049
550,2.83095973295545e-20,-0.0098,0.005
551,2.831155846561748e-20,-0.0098,0.0051
552,2.8313558523553834e-20,-0.0098,0.0052
553,2.831559735407402e-20,-0.0098,0.0053
554,2.8317675071374794e-20,-0.0098,0.0054
555,2.8319791639126176e-20,-0.0098,0.0055
556,2.832194702101954e-20,-0.0098,0.0056
557,2.832414133132981e-20,-0.0098,0.0057
558,2.8326374383233645e-20,-0.0098,0.0058
559,2.8328646403978475e-20,-0.0098,0.0059
560,2.833095720678397e-20,-0.0098,0.006
561,2.833330690602493e-20,-0.0098,0.0061
562,2.8335695465532706e-20,-0.0098,0.0062
563,2.833812277387087e-20,-0.0098,0.0063
564,2.834058902077831e-20,-0.0098,0.0064
565,2.834309413251109e-20,-0.0098,0.0065
566,2.834563803534314e-20,-0.0098,0.0066
567,2.8348220881448504e-20,-0.0098,0.0067
